"Bacteria_Antibiotic","ECOFF","distributions","observations","resistance_freq","best_model","unimodalBIC","bimodalBIC","prob_best","peaks","prop_overlap","diptest","diptest_pval","foldingtest","foldingtest_pval","criticalbandwidth","criticalbandwidth_pval","excessmass","excessmass_pval"
"Enterococcus faecalis_Avilamycin",8,15,1183,0.0084530853761623,"Bimodal",2597.31914366155,2342.53560353623,4.72560287313641e-56,"1 Peak",0.482049555868148,0.00725220319421618,0.982086606053112,1.81189046144371,0.0001220703125,0.430984497070312,0.746,0.0145044063884324,0.292
"Enterococcus faecium_Avilamycin",16,26,3843,0.142596929482175,"Bimodal",16090.6396769031,12518.7100695628,0,"2 Peaks",0.000611351254583659,0.0395695573614971,0,0.808428208575119,0.0001220703125,1.43111419677734,0,0.0791391147229942,0
"Campylobacter coli_Azithromycin",0.5,28,9928,0.10334407735697,"Bimodal",52418.2615857439,31595.095890004,0,"2 Peaks",1.31042309148737e-14,0.0389073739210244,0,0.284722736528573,0.0001220703125,3.17829132080078,0,0.0778147479867245,0
"Campylobacter jejuni_Azithromycin",0.25,41,27486,0.0245215746198064,"Bimodal",108455.585495893,84754.1917983003,0,"2 Peaks",0.0939283238993361,0.00427903048429557,0.00191819739263854,1.67985879880411,0.0001220703125,2.66269493103027,0,0.00855806096891876,0
"Haemophilus influenzae_Azithromycin",4,7,32600,0.00680981595092025,"Bimodal",92694.9063225756,89918.1714687137,0,"1 Peak",0.784480838896201,0.00162472549433281,0.899843783595482,1.82597687516254,0.0001220703125,0.858551025390625,0.3,0.0032494509917653,0.002
"Neisseria gonorrhoeae_Azithromycin",1,16,15861,0.0151945022381943,"Bimodal",55925.2695224074,54650.8145607468,1.80144645631153e-277,"1 Peak",0.567981091147665,0.00166847024775498,0.994739479582135,1.90761849925162,0.0001220703125,1.38496398925781,0.08,0.0033369409376568,0.314
"Salmonella enterica_Azithromycin",16,7,20299,0.00093600669983743,"Bimodal",42105.2837685228,40747.609609559,1.530390530183e-295,"1 Peak",0.774925040034211,0.00224439202140767,0.792349332296145,1.75924420239759,0.0001220703125,0.581611633300781,0.47,0.00448878412674634,0
"Salmonella Typhi_Azithromycin",32,5,166,0.00602409638554217,"Unimodal",459.37182625525,461.032508605,0.303572935376054,"1 Peak",1,0.022898707924742,0.829646390935837,1.725522717529,0.0001220703125,0.360298156738281,0.41,0.045797415849484,0.194
"Streptococcus pneumoniae_Azithromycin",0.125,7,71068,0.326307198739236,"Bimodal",405552.680607015,301337.988819775,0,"2 Peaks",0.00797394190800506,0.0382643795866562,0,0.489996340060909,0.0001220703125,2.66644287109375,0,NA,NA
"Streptococcus pyogenes_Azithromycin",0.25,5,24343,0.0904982951977981,"Bimodal",109123.979904255,69234.9959146942,0,"2 Peaks",0.0104703413913219,0.0135916150308971,0,0.586539218331663,0.0001220703125,1.71556854248047,0,0.0271832300702852,0
"Escherichia coli_Aztreonam",0.25,7,3192,0.0798872180451128,"Bimodal",14224.9599614048,10752.3527595512,0,"2 Peaks",0.12342540671975,0.00568238025957116,0.772429524788292,0.946495823591328,0.00544055229457544,1.837158203125,0,0.0113647605191423,0.03
"Pseudomonas aeruginosa_Aztreonam",16,10,1702,0.114571092831962,"Bimodal",6377.67897477963,6352.38835833029,3.22263423545952e-06,"1 Peak",0.498166541238316,0.00605182565624188,0.982729440841424,1.63390120310338,0.0001220703125,0.45050048828125,0.788,0.0121036513124838,0.164
"Enterococcus faecium_Bacitracin",32,16,2789,0.778773754033704,"Bimodal",12025.9667749473,8989.82139595042,0,"2 Peaks",0.149004222947642,0.0189038049461156,0,0.596149110388968,0.0001220703125,1.31319427490234,0,0.0378076098922311,0
"Enterococcus faecalis_Benzylpenicillin",16,18,21158,0.00472634464505152,"Bimodal",51621.1955557359,48489.8402236666,0,"1 Peak",0.704270927822911,0.00181923415785216,0.9664602062301,1.80760640402364,0.0001220703125,0.91375732421875,0.296,0.0036384689379223,0.024
"Enterococcus faecium_Benzylpenicillin",16,11,7638,0.490049751243781,"Bimodal",35679.9980894235,31009.9893944923,0,"2 Peaks",0.163329280307179,0.0551804016880742,0,1.0798366469175,0.0001220703125,1.44339752197266,0,0.110360808152462,0
"Listeria monocytogenes_Benzylpenicillin",1,5,530,0.00188679245283019,"Bimodal",1544.55892685768,1499.28462936242,1.47506518518811e-10,"2 Peaks",0.00769624152244425,0.00924406700422029,0.993660911457574,1.82774587793163,0.0001220703125,0.704635620117188,0.16,0.0184881340084406,0.828
"Neisseria meningitidis_Benzylpenicillin",0.25,15,3156,0.0437262357414449,"Bimodal",9906.03613266089,9668.42666960983,2.53373198858447e-52,"1 Peak",0.42759911774951,0.0051122411992503,0.908565133563199,1.39249788340236,0.0001220703125,0.326362609863281,0.658,0.0102244823985006,0.012
"Pasteurella multocida_Benzylpenicillin",0.5,10,522,0.0383141762452107,"Bimodal",1741.22973777616,1608.11599056897,1.24370408624988e-29,"2 Peaks",0.131389715404563,0.0146614727622515,0.673807265688287,2.38301254851407,0.0001220703125,0.843971252441406,0.376,0.029322945524503,0.086
"Staphylococcus aureus_Benzylpenicillin",0.125,8,7878,0.83003300330033,"Bimodal",40998.3264125105,38602.0326595061,0,"2 Peaks",0.0536922869938247,0.0212811616756981,0,1.15345336187456,0.0001220703125,1.5804443359375,0,0.0425623224242267,0
"Streptococcus agalactiae_Benzylpenicillin",0.125,9,3261,0.00153327200245324,"Bimodal",6942.5691090025,6933.33275487061,0.0097742936017813,"1 Peak",0.94440278112603,0.00755175385872704,0.262887799377721,1.38514555769768,0.0001220703125,0.487091064453125,0.29,0.0151035077174541,0
"Streptococcus anginosus_Benzylpenicillin",0.25,5,349,0.0343839541547278,"Bimodal",1145.85891273202,1045.04663034276,1.28496419126131e-22,"1 Peak",0.43776892812679,0.0140355404146856,0.953694521636212,1.66068962767195,0.0001220703125,0.530654907226562,0.698,0.0280710808293712,0.322
"Streptococcus oralis_Benzylpenicillin",0.25,6,607,0.156507413509061,"Bimodal",2751.40354476619,2451.95885497188,9.47134799184611e-66,"2 Peaks",0.246830462504788,0.00954543694770372,0.990476006083801,1.05998769284721,0.178436692202246,0.497581481933594,0.958,0.0190908738954074,0.38
"Streptococcus pneumoniae_Benzylpenicillin",0.064,33,36281,0.244949146936413,"Bimodal",178237.265456782,148087.805894386,0,"2 Peaks",0.0427106377623234,0.0234207947625013,0,0.66837476894403,0.0001220703125,1.78392028808594,0,0.0468415895336475,0
"Streptococcus pyogenes_Benzylpenicillin",0.032,12,2677,0.00336197235711617,"Bimodal",6014.56058899534,5738.15068767453,9.51376799653548e-61,"2 Peaks",0.642992864717606,0.00850138590307898,0.233604979378622,1.28106095782911,0.0001220703125,0.629768371582031,0.324,0.0170027620232092,0
"Streptococcus, viridans group_Benzylpenicillin",0.25,5,589,0.140916808149406,"Bimodal",2590.22779255788,2392.94702736212,1.44885907352321e-43,"1 Peak",0.398037612282456,0.0115489205537142,0.914162482982864,1.39469029398083,0.0001220703125,1.10128021240234,0.272,0.0230978411074284,0.184
"Haemophilus influenzae_Cefaclor",16,14,28252,0.0231134079003256,"Bimodal",95456.3442526456,94542.7989519467,4.22822869161035e-199,"1 Peak",0.700672544985914,0.00171543923831097,0.913314123605528,1.5830805826646,0.0001220703125,0.253105163574219,0.188,0.00343087989214566,0.012
"Moraxella catarrhalis_Cefaclor",4,5,7133,0.124211411748213,"Bimodal",26525.2826064402,25786.962562612,4.74066801841568e-161,"1 Peak",0.429824998202275,0.00393253235576596,0.725850898432741,1.35132031542799,0.0001220703125,0.360153198242188,0.24,0.00786506193697234,0.002
"Streptococcus pneumoniae_Cefaclor",1,7,2681,0.093248787765759,"Bimodal",11731.5235062279,9975.19488684011,0,"2 Peaks",0.0328267932518993,0.00937193926584846,0.125152528604967,1.26049006376774,0.0001220703125,1.54781341552734,0,0.0187438785316969,0
"Pasteurella multocida_Cefalexin",8,7,283,0.00353356890459364,"Bimodal",626.982604223992,621.492568146269,0.0603686300427302,"2 Peaks",0.689407195572302,0.029067781037769,0.0927529105990217,1.45915888107402,0.0001220703125,0.735336303710938,0.222,0.0581355620755379,0
"Staphylococcus pseudintermedius_Cefalexin",4,5,168,0.136904761904762,"Bimodal",575.171085035578,515.476601258151,1.09020343910753e-13,"2 Peaks",0.177166565193204,0.0208376039179743,0.922310719183707,1.1607078948436,0.0525350056245088,0.508949279785156,0.596,0.0416752078359487,0.402
"Escherichia coli_Cefalothin",32,14,3861,0.0277130277130277,"Bimodal",11712.4666139619,11220.6982381305,1.63626635666026e-107,"1 Peak",0.714276369246456,0.00525141339274073,0.748740397448284,1.89554953438011,0.0001220703125,0.489250183105469,0.268,0.0105028267854815,0.008
"Staphylococcus aureus_Cefalothin",1,5,717,0.0362622036262204,"Bimodal",2287.01111533657,2059.21697479551,3.42871096699091e-50,"1 Peak",0.540615324098427,0.0127598611910318,0.644944144999793,2.0189815134218,0.0001220703125,1.07426452636719,0.394,0.0255197223820636,0.032
"Escherichia coli_Cefazolin",4,5,381,0.125984251968504,"Bimodal",1399.53805149214,1294.88755988356,1.88553449903964e-23,"1 Peak",0.314014780643259,0.0120070398984076,0.990243812511238,1.37132573230289,0.0001220703125,0.67279052734375,0.15,0.0240140797968151,0.624
"Klebsiella pneumoniae_Cefazolin",4,5,208,0.158653846153846,"Bimodal",836.289902587811,708.703917745376,1.97267439422053e-28,"2 Peaks",0.173430906222287,0.0193334467952342,0.903351784737916,0.99362589064972,0.933364473129041,0.665626525878906,0.732,0.0386668935904685,0.294
"Salmonella enterica_Cefazolin",4,5,219,0.0091324200913242,"Bimodal",552.777753844934,544.674926581217,0.0171002569934,"2 Peaks",0.596998203532356,0.0174091303033629,0.957823552419084,1.2709595085651,0.00042724609375,0.260650634765625,0.704,0.0348182606067258,0.736
"Staphylococcus aureus_Cefazolin",2,5,19252,0.110741741117806,"Bimodal",82358.3868271058,66937.9632385103,0,"2 Peaks",0.075483350729517,0.022397408542125,0,1.0142387190926,0.0665642975749604,1.40542602539062,0,0.0447948169984081,0
"Serratia marcescens_Cefepime-tazobactam",0.25,5,1254,0.0869218500797448,"Bimodal",4869.09941521318,4054.89356405942,1.57559957608879e-177,"1 Peak",0.363694062972035,0.00698794721242436,0.984009827898619,1.68789257795573,0.0001220703125,1.27333831787109,0.31,0.0139758944248487,0.35
"Citrobacter freundii_Cefepime",0.125,5,775,0.278709677419355,"Bimodal",3878.15520207551,3108.69122364743,8.18502617680906e-168,"2 Peaks",0.16045589381631,0.0109226641043365,0.829310401791407,1.2202922714578,0.0001220703125,1.0152587890625,0.452,0.0218453282086731,0.05
"Enterobacter cloacae_Cefepime",0.125,27,3621,0.352941176470588,"Bimodal",19689.2162484719,17978.7735677761,0,"2 Peaks",0.255486246489068,0.00389337476025385,0.991277228855207,1.08133906524061,0.0001220703125,0.728645324707031,0.404,0.00778674952050771,0.15
"Escherichia coli_Cefepime",0.25,33,12919,0.174858735196223,"Bimodal",71029.4094875198,52176.351039843,0,"2 Peaks",0.0933849761162174,0.008446377628597,0,0.590258066084896,0.0001220703125,2.48847579956055,0,0.0168927552358303,0
"Haemophilus influenzae_Cefepime",0.25,5,417,0.0839328537170264,"Bimodal",1431.30971509622,1329.72357803992,8.72671151225395e-23,"1 Peak",0.389103416064683,0.0102988508156085,0.993714940224451,1.45303380485377,0.0001220703125,0.483863830566406,0.422,0.020597701631217,0.796
"Klebsiella aerogenes_Cefepime",0.125,8,893,0.35498320268757,"Bimodal",4207.3806752491,3750.98225726236,7.84048195271188e-100,"2 Peaks",0.209332639299629,0.0124266395016645,0.496550643029507,1.63199320612352,0.0001220703125,1.24215698242188,0.356,0.0248532790033291,0.002
"Klebsiella oxytoca_Cefepime",0.125,18,1511,0.219722038385175,"Bimodal",7488.61431501845,6035.50831292879,2.89761601176214e-316,"2 Peaks",0.187892892749992,0.0137724076578007,0.051928753313479,0.804476513870329,0.0001220703125,1.56393432617188,0.002,0.0275448153156013,0
"Klebsiella pneumoniae_Cefepime",0.125,31,7780,0.410282776349614,"Bimodal",47556.3697776306,38390.9601910929,0,"2 Peaks",0.0357048743764102,0.0371182468616374,0,0.489160310193973,0.0001220703125,3.3624267578125,0,0.0742364917583284,0
"Proteus mirabilis_Cefepime",0.125,6,2008,0.14093625498008,"Bimodal",9495.81216942204,6244.54723331535,0,"2 Peaks",0.180528017055036,0.00532328757870913,0.990547559547951,0.851250611707249,0.0001220703125,0.739372253417969,0.992,0.0106465751574183,0.264
"Pseudomonas aeruginosa_Cefepime",8,17,11305,0.225121627598408,"Bimodal",47651.7269895779,46017.9425687673,0,"1 Peak",0.580595057759671,0.00208924923930988,0.993197141045366,1.45287913273293,0.0001220703125,0.656494140625,0.128,0.00417849718020061,0.164
"Serratia marcescens_Cefepime",0.25,7,1826,0.131434830230011,"Bimodal",8164.72811468872,6576.76588143337,0,"2 Peaks",0.305297595550004,0.00864437303118718,0.520021054574446,1.36412250724259,0.0001220703125,1.28016662597656,0.402,0.0172887460623744,0.006
"Staphylococcus aureus_Cefepime",8,30,3859,0.0336874838040943,"Bimodal",13383.8542042515,11732.1187895926,0,"1 Peak",0.533895058066094,0.00391414509301322,0.990009690396671,2.35397164789187,0.0001220703125,1.08667755126953,0.024,0.00782829044748677,0.214
"Escherichia coli_Cefixime",2,6,2422,0.0933113129644922,"Bimodal",10089.6303536121,9335.67864078684,1.91190253595186e-164,"2 Peaks",0.0799932047834521,0.0124638287096068,0.0132391511118499,1.6173599341036,0.0001220703125,1.10708618164062,0.04,0.0249276574192135,0
"Haemophilus influenzae_Cefixime",0.125,9,7433,0.0250235436566662,"Bimodal",20296.0789892377,18331.4182506367,0,"1 Peak",0.589097930916449,0.00338749855342432,0.899040165170772,1.93241678824752,0.0001220703125,0.292037963867188,0.59,0.00677500112525075,0.004
"Escherichia coli_Cefotaxime-clavulanate",0.25,14,733,0.0518417462482947,"Bimodal",3073.28784316093,2662.56573510316,6.49871419107534e-90,"2 Peaks",0.168661693398498,0.0120645516937994,0.723335581935729,1.73911021870112,0.0001220703125,1.63546752929688,0.182,0.0241291033875988,0.062
"Acinetobacter baumannii_Cefotaxime",64,6,1036,0.0955598455598456,"Bimodal",4351.59183382465,4212.05812556515,5.01926622684819e-31,"2 Peaks",0.120990578892047,0.0201703650858372,0.00559219315974135,2.06334709191252,0.0001220703125,1.07386016845703,0.028,0.0403407301716744,0
"Enterobacter cloacae_Cefotaxime",1,28,2232,0.351702508960573,"Bimodal",12666.2554491863,11505.2697184447,7.85510121242213e-253,"2 Peaks",0.0340770963472635,0.0334899703965541,0,0.688653923449236,0.0001220703125,2.44455909729004,0,0.0669799407931082,0
"Escherichia coli_Cefotaxime",0.25,44,10487,0.0705635548774673,"Bimodal",45570.0939437843,34588.4756611363,0,"2 Peaks",0.260967210987199,0.00383308561989107,0.425467130896817,1.15764191211873,0.0001220703125,1.98072052001953,0.004,0.00766617122247484,0
"Haemophilus influenzae_Cefotaxime",0.06,18,12518,0.0163764179581403,"Bimodal",36580.9859944721,35746.2037506307,5.36214994708518e-182,"1 Peak",0.795242174873701,0.00253267457860928,0.924841444948375,1.73774612853925,0.0001220703125,0.527793884277344,0.286,0.00506534955167568,0.012
"Klebsiella aerogenes_Cefotaxime",0.5,14,510,0.623529411764706,"Bimodal",2843.67844475332,2649.55073209555,7.00975443565523e-43,"2 Peaks",0.0457740584485624,0.0566449394407073,0,0.791034048421939,0.0001220703125,2.51766967773438,0.016,0.113289878881415,0
"Klebsiella oxytoca_Cefotaxime",0.125,17,814,0.22972972972973,"Bimodal",4092.06367201866,3496.06192774085,3.80071782542928e-130,"2 Peaks",0.199046561897359,0.00860264548848028,0.984559546513853,0.961687725569783,0.327696750386769,0.817306518554688,0.7,0.0172052909769606,0.336
"Klebsiella pneumoniae_Cefotaxime",0.25,33,3959,0.246779489770144,"Bimodal",22746.9687725335,17993.5363335809,0,"2 Peaks",0.0257884722632672,0.0254244835503006,0,0.508334680738993,0.0001220703125,2.93369674682617,0,0.0508489671006013,0
"Moraxella catarrhalis_Cefotaxime",0.25,8,2888,0.518005540166205,"Bimodal",10942.8681058727,10147.6815915507,2.12540830398236e-173,"2 Peaks",0.0912609261114026,0.0215661653607047,0,0.867680673308054,0.0001220703125,0.819664001464844,0,0.0431323307214093,0
"Neisseria gonorrhoeae_Cefotaxime",0.016,14,14877,0.292868185790146,"Bimodal",62989.2860265856,60833.8450330792,0,"1 Peak",0.277411504089272,0.00203806667586781,0.986687390299971,1.17870178429488,0.0001220703125,0.478523254394531,0.09,0.00407613855236912,0.086
"Neisseria meningitidis_Cefotaxime",0.016,18,2019,0.0113917781079742,"Bimodal",5530.31497801685,5481.48655548213,2.49484039083697e-11,"1 Peak",0.502773506749767,0.00871857546407096,0.413823538959086,1.37716098984919,0.0001220703125,0.243095397949219,0.138,0.0174371509281419,0
"Pseudomonas aeruginosa_Cefotaxime",64,6,1499,0.0620413609072715,"Bimodal",5716.82213280974,5612.56868336996,2.29959361678831e-23,"1 Peak",0.321959228162783,0.00952374098539726,0.519568138988041,1.91728581018549,0.0001220703125,0.776809692382812,0.614,0.0190474819707945,0.004
"Staphylococcus aureus_Cefotaxime",4,30,5702,0.0682216766047001,"Bimodal",19975.5184330509,17771.7503555489,0,"2 Peaks",0.0764733760058856,0.0107452020541471,0.000159606155300196,1.84143490022751,0.0001220703125,0.943328857421875,0.18,0.0214904048072152,0
"Streptococcus agalactiae_Cefotaxime",0.125,9,984,0.0101626016260163,"Bimodal",2439.23256267251,2100.86725915215,3.34894416449726e-74,"2 Peaks",1.77316834329473e-33,0.00836831642185042,0.961433646267065,3.063130441926,0.0001220703125,2.21608352661133,0.228,0.0167366328437008,0.342
"Streptococcus pneumoniae_Cefotaxime",0.06,26,12915,0.0988772744870306,"Bimodal",51097.8854817907,43575.1168060628,0,"2 Peaks",0.156686493194774,0.00305495722550872,0.653468585809342,1.24404920637962,0.0001220703125,0.775161743164062,0.022,0.00610991428780001,0
"Streptococcus pyogenes_Cefotaxime",0.03,6,640,0.0015625,"Bimodal",1376.53945806238,1333.09038951426,3.6741310492164e-10,"1 Peak",0.739444432973099,0.0123676482455411,0.788627077742465,1.50014814423257,0.0001220703125,0.888771057128906,0.248,0.0247352964910822,0.124
